work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Engineer,139500,USD,139500,US,0,US,M
2023,SE,FT,Data Engineer,109400,USD,109400,US,0,US,M
2023,SE,FT,Machine Learning Engineer,139500,USD,139500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,109400,USD,109400,US,0,US,M
2023,SE,FT,Data Analyst,170500,USD,170500,US,100,US,M
2023,SE,FT,Data Analyst,85000,USD,85000,US,100,US,M
2023,SE,FT,Data Manager,60027,GBP,72946,GB,0,GB,M
2023,SE,FT,Data Manager,44737,GBP,54365,GB,0,GB,M
2023,EX,FT,Head of Data Science,131899,GBP,160288,GB,0,GB,M
2023,EX,FT,Head of Data Science,104891,GBP,127467,GB,0,GB,M
2023,SE,FT,Data Engineer,80000,USD,80000,US,0,US,M
2023,SE,FT,Data Engineer,65000,USD,65000,US,0,US,M
2023,SE,FT,Data Engineer,124740,USD,124740,US,0,US,M
2023,SE,FT,Data Engineer,65488,USD,65488,US,0,US,M
2023,SE,FT,Data Quality Analyst,72200,USD,72200,US,0,US,M
2023,SE,FT,Data Quality Analyst,64980,USD,64980,US,0,US,M
2023,SE,FT,Data Engineer,153600,USD,153600,US,0,US,M
2023,SE,FT,Data Engineer,106800,USD,106800,US,0,US,M
2023,SE,FT,Data Analyst,179975,USD,179975,US,100,US,M
2023,SE,FT,Data Analyst,86466,USD,86466,US,100,US,M
2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Engineer,90000,USD,90000,US,0,US,M
2023,MI,FT,Insight Analyst,42000,GBP,51039,GB,0,GB,M
2023,MI,FT,Insight Analyst,35000,GBP,42533,GB,0,GB,M
2023,SE,FT,Data Scientist,149076,USD,149076,US,0,US,M
2023,SE,FT,Data Scientist,82365,USD,82365,US,0,US,M
2023,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2023,SE,FT,Data Science Manager,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Science Manager,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Analyst,230000,USD,230000,US,0,US,M
2023,SE,FT,Data Analyst,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
2023,SE,FT,Data Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Manager,120000,USD,120000,US,0,US,M
2023,SE,FT,Machine Learning Infrastructure Engineer,205920,USD,205920,US,0,US,M
2023,SE,FT,Machine Learning Infrastructure Engineer,171600,USD,171600,US,0,US,M
2023,SE,FT,Data Analyst,165000,USD,165000,US,100,US,M
2023,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M
2023,SE,FT,Data Engineer,265000,USD,265000,US,0,US,M
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M
2023,MI,FT,Applied Machine Learning Engineer,130000,USD,130000,US,0,US,M
2022,EN,FT,Data Scientist,168000,USD,168000,US,100,US,M
2023,MI,FT,AI Scientist,36000,EUR,38631,ES,50,ES,L
2023,SE,FT,Data Analyst,95000,USD,95000,US,0,US,M
2023,SE,FT,Data Analyst,85500,USD,85500,US,0,US,M
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M
2023,SE,FT,Data Engineer,167580,USD,167580,US,0,US,M
2023,SE,FT,Data Engineer,87980,USD,87980,US,0,US,M
2023,SE,FT,Data Engineer,202000,USD,202000,US,100,US,M
2023,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
2023,SE,FT,Data Engineer,163800,USD,163800,US,0,US,M
2023,SE,FT,Data Engineer,126000,USD,126000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,163800,USD,163800,US,0,US,M
2023,SE,FT,Machine Learning Engineer,126000,USD,126000,US,0,US,M
2023,SE,FT,Data Engineer,104000,USD,104000,US,100,US,M
2023,SE,FT,Data Engineer,65000,USD,65000,US,100,US,M
2023,SE,FT,Research Engineer,230000,USD,230000,US,0,US,M
2023,SE,FT,Research Engineer,148000,USD,148000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,269000,USD,269000,CA,100,CA,M
2023,SE,FT,Machine Learning Engineer,158000,USD,158000,CA,100,CA,M
2023,SE,FT,Analytics Engineer,197000,USD,197000,US,0,US,M
2023,SE,FT,Analytics Engineer,106000,USD,106000,US,0,US,M
2023,MI,FT,Deep Learning Engineer,150000,USD,150000,US,100,US,M
2023,MI,FT,Deep Learning Engineer,100000,USD,100000,US,100,US,M
2023,SE,FT,Data Engineer,290000,USD,290000,US,100,US,M
2023,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
2023,SE,FT,Data Engineer,192000,USD,192000,US,0,US,M
2023,SE,FT,Data Engineer,172800,USD,172800,US,0,US,M
2023,SE,FT,Data Scientist,300240,USD,300240,US,0,US,M
2023,SE,FT,Data Scientist,200160,USD,200160,US,0,US,M
2023,SE,FT,Data Scientist,300240,USD,300240,US,0,US,M
2023,SE,FT,Data Scientist,200160,USD,200160,US,0,US,M
2023,SE,FT,Analytics Engineer,175000,USD,175000,US,0,US,M
2023,SE,FT,Analytics Engineer,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Manager,169000,USD,169000,US,0,US,M
2023,SE,FT,Data Manager,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Data Scientist,245000,USD,245000,US,0,US,M
2023,MI,FT,Data Engineer,95000,GBP,115447,GB,100,GB,L
2023,SE,FT,Data Analyst,110000,USD,110000,US,100,US,S
2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,S
2023,EN,FT,Data Analyst,55000,USD,55000,US,0,US,M
2023,EN,FT,Data Analyst,48000,USD,48000,US,0,US,M
2023,SE,FT,Data Analyst,95000,USD,95000,US,0,US,M
2023,SE,FT,Data Analyst,85000,USD,85000,US,0,US,M
2023,SE,FT,Data Engineer,137500,USD,137500,US,100,US,M
2023,SE,FT,Data Engineer,81500,USD,81500,US,100,US,M
2023,SE,FT,Machine Learning Engineer,323300,USD,323300,US,0,US,M
2023,SE,FT,Machine Learning Engineer,184700,USD,184700,US,0,US,M
2021,MI,FT,AI Scientist,30000,USD,30000,GH,0,GH,S
2023,SE,FT,Machine Learning Engineer,186000,USD,186000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,153088,USD,153088,US,100,US,M
2023,MI,FT,Data Infrastructure Engineer,190000,USD,190000,US,100,US,M
2023,MI,FT,Data Infrastructure Engineer,160000,USD,160000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,100,US,M
2023,MI,FT,Data Infrastructure Engineer,190000,USD,190000,US,0,US,M
2023,MI,FT,Data Infrastructure Engineer,183310,USD,183310,US,0,US,M
2023,SE,FT,Machine Learning Engineer,240000,USD,240000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,180000,USD,180000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
2023,SE,FT,Data Engineer,144000,USD,144000,US,100,US,M
2023,SE,FT,Data Engineer,66000,USD,66000,US,100,US,M
2023,MI,FT,Machine Learning Engineer,148500,USD,148500,US,0,US,M
2023,MI,FT,Machine Learning Engineer,126277,USD,126277,US,0,US,M
2023,SE,FT,Data Architect,228000,USD,228000,US,0,US,M
2023,SE,FT,Data Architect,120000,USD,120000,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,90000,USD,90000,US,0,US,M
2023,SE,FT,Data Scientist,126500,USD,126500,US,0,US,M
2023,SE,FT,Data Scientist,78000,USD,78000,US,0,US,M
2023,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,272000,USD,272000,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,170000,USD,170000,US,0,US,M
2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
2023,MI,FT,Data Analyst,60000,USD,60000,US,0,US,M
2023,SE,FT,Data Engineer,259000,USD,259000,US,100,US,M
2023,SE,FT,Data Engineer,146000,USD,146000,US,100,US,M
2023,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2023,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2023,EX,FT,Data Engineer,239000,USD,239000,US,100,US,M
2023,SE,FT,Data Analyst,142000,USD,142000,US,100,US,M
2023,SE,FT,Data Analyst,95000,USD,95000,US,100,US,M
2023,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
2023,SE,FT,Data Scientist,139500,USD,139500,US,0,US,M
2023,MI,FT,Data Engineer,140000,USD,140000,US,100,US,M
2023,MI,FT,Data Engineer,120000,USD,120000,US,100,US,M
2023,SE,FT,Data Engineer,259000,USD,259000,US,100,US,M
2023,SE,FT,Data Engineer,146000,USD,146000,US,100,US,M
2023,MI,FT,Data Analyst,90000,GBP,109371,HR,0,HR,M
2023,MI,FT,Data Analyst,60000,GBP,72914,HR,0,HR,M
2023,EN,PT,Data Analyst,78000,PLN,17779,PL,100,IN,L
2023,EN,FT,Data Scientist,101400,BRL,19522,BR,100,BR,L
2023,SE,FT,Data Science Lead,247500,USD,247500,US,0,US,M
2023,SE,FT,Data Science Lead,172200,USD,172200,US,0,US,M
2023,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
2023,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
2023,SE,FT,Data Engineer,139500,USD,139500,US,0,US,M
2023,SE,FT,Data Engineer,109400,USD,109400,US,0,US,M
2023,MI,FT,Data Engineer,125000,USD,125000,US,0,US,M
2023,MI,FT,Data Engineer,90000,USD,90000,US,0,US,M
2023,SE,FT,Machine Learning Infrastructure Engineer,100000,EUR,107309,FR,100,FR,M
2023,SE,FT,Machine Learning Infrastructure Engineer,70000,EUR,75116,FR,100,FR,M
2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2023,SE,FT,Machine Learning Engineer,139500,USD,139500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,109400,USD,109400,US,0,US,M
2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M
2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M
2023,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2023,SE,FT,Data Analyst,110600,USD,110600,US,0,US,M
2023,SE,FT,Machine Learning Engineer,288000,USD,288000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,140000,USD,140000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,288000,USD,288000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,140000,USD,140000,US,100,US,M
2023,MI,FT,Data Engineer,120000,USD,120000,US,0,US,M
2023,MI,FT,Data Engineer,90000,USD,90000,US,0,US,M
2023,MI,FT,Data Science Lead,60000,GBP,72914,GB,0,GB,M
2023,MI,FT,Data Science Lead,50000,GBP,60761,GB,0,GB,M
2023,SE,FT,Data Scientist,215050,USD,215050,US,100,US,M
2023,SE,FT,Data Scientist,156400,USD,156400,US,100,US,M
2023,SE,FT,Data Architect,198000,USD,198000,US,100,US,M
2023,SE,FT,Data Architect,114000,USD,114000,US,100,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
2023,EN,FT,Data Analyst,60000,USD,60000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
2023,SE,FT,Data Scientist,209300,USD,209300,US,100,US,M
2023,SE,FT,Data Scientist,182200,USD,182200,US,100,US,M
2023,SE,FT,Data Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Manager,120000,USD,120000,US,0,US,M
2022,EN,FT,Data Scientist,85000,USD,85000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,40000,GBP,48609,GB,100,GB,M
2023,EN,FT,Research Engineer,120000,USD,120000,GB,100,GB,M
2023,EN,FT,Research Engineer,60000,USD,60000,GB,100,GB,M
2023,SE,FT,Machine Learning Engineer,147100,USD,147100,US,0,US,M
2023,SE,FT,Machine Learning Engineer,90700,USD,90700,US,0,US,M
2023,SE,FT,Data Engineer,230000,USD,230000,US,0,US,M
2023,SE,FT,Data Engineer,170000,USD,170000,US,0,US,M
2023,SE,FT,Data Analyst,227000,USD,227000,US,0,US,M
2023,SE,FT,Data Analyst,108000,USD,108000,US,0,US,M
2023,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Architect,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Data Analyst,52000,EUR,55800,ES,100,ES,M
2023,SE,FT,Data Analyst,48000,EUR,51508,ES,100,ES,M
2023,EN,FT,Data Analyst,60000,USD,60000,US,100,US,L
2023,EN,FT,Data Analyst,50000,USD,50000,KW,50,US,L
2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
2023,SE,FT,Data Engineer,133300,USD,133300,US,0,US,M
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,SE,FT,Big Data Architect,124999,GBP,151902,GB,100,GB,L
2023,EN,FT,Data Scientist,800000,INR,9727,IN,0,IN,L
2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
2023,SE,FT,Data Analyst,52500,USD,52500,US,0,US,M
2023,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2023,SE,FT,Data Engineer,162500,USD,162500,US,100,US,M
2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M
2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
2023,MI,FT,Data Analyst,165000,USD,165000,US,0,US,M
2023,MI,FT,Data Analyst,124000,USD,124000,US,0,US,M
2023,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
2023,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
2023,SE,FT,Data Engineer,167580,USD,167580,US,0,US,M
2023,SE,FT,Data Engineer,87980,USD,87980,US,0,US,M
2023,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2023,SE,FT,Data Engineer,63000,USD,63000,US,100,US,M
2023,SE,FT,Research Scientist,253750,USD,253750,ES,0,ES,M
2023,SE,FT,Research Scientist,169200,USD,169200,ES,0,ES,M
2023,SE,FT,Research Scientist,253750,USD,253750,ES,0,ES,M
2023,SE,FT,Research Scientist,169200,USD,169200,ES,0,ES,M
2023,MI,FT,Data Scientist,170000,USD,170000,US,0,US,M
2023,MI,FT,Data Scientist,120000,USD,120000,US,0,US,M
2023,SE,FT,Data Engineer,124740,USD,124740,US,0,US,M
2023,SE,FT,Data Engineer,65488,USD,65488,US,0,US,M
2023,SE,FT,Data Engineer,213580,USD,213580,US,100,US,M
2023,SE,FT,Data Engineer,163625,USD,163625,US,100,US,M
2023,EN,FT,Data Engineer,12000,USD,12000,VN,0,VN,L
2022,SE,FT,Machine Learning Software Engineer,375000,USD,375000,US,100,US,M
2023,SE,FT,Data Engineer,95000,EUR,101943,IE,100,IE,M
2023,MI,FT,Product Data Analyst,1350000,INR,16414,IN,100,IN,L
2023,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,170000,USD,170000,US,0,US,M
2023,EX,FT,Data Engineer,235000,USD,235000,US,0,US,M
2023,EX,FT,Data Engineer,210000,USD,210000,US,0,US,M
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2023,SE,FT,Data Science Manager,231250,USD,231250,US,100,US,M
2023,SE,FT,Data Science Manager,138750,USD,138750,US,100,US,M
2023,SE,FT,Machine Learning Engineer,284310,USD,284310,US,0,US,M
2023,SE,FT,Machine Learning Engineer,153090,USD,153090,US,0,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M
2023,MI,FT,Data Analyst,125000,USD,125000,US,0,US,M
2023,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
2023,MI,FT,Data Analyst,90000,GBP,109371,GB,0,GB,M
2023,MI,FT,Data Analyst,70000,GBP,85066,GB,0,GB,M
2023,EN,FT,Data Analyst,55000,USD,55000,US,0,US,M
2023,EN,FT,Data Analyst,48000,USD,48000,US,0,US,M
2023,EN,FT,Data Analyst,100000,USD,100000,US,50,US,M
2023,SE,FT,Data Science Lead,225900,USD,225900,US,0,US,M
2023,SE,FT,Data Science Lead,156400,USD,156400,US,0,US,M
2023,SE,FT,Data Engineer,250000,USD,250000,US,100,US,M
2023,SE,FT,Data Engineer,162500,USD,162500,US,100,US,M
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M
2023,SE,FT,Data Analyst,385000,USD,385000,US,0,US,M
2023,SE,FT,Data Analyst,60000,USD,60000,US,0,US,M
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M
2023,MI,FT,Data Analyst,95000,USD,95000,US,100,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2023,SE,FT,Data Scientist,135000,USD,135000,US,100,US,M
2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
2023,SE,FT,Data Analyst,93919,USD,93919,US,100,US,M
2023,SE,FT,Data Analyst,51962,USD,51962,US,100,US,M
2023,SE,FT,Data Engineer,241871,USD,241871,US,0,US,M
2023,SE,FT,Data Engineer,133832,USD,133832,US,0,US,M
2023,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2023,SE,FT,Data Scientist,90000,USD,90000,US,100,US,M
2023,EX,FT,Data Engineer,210914,USD,210914,US,100,US,M
2023,EX,FT,Data Engineer,116704,USD,116704,US,100,US,M
2023,SE,FT,Data Analyst,192500,USD,192500,US,100,US,M
2023,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
2023,SE,FT,Data Scientist,149076,USD,149076,US,0,US,M
2023,SE,FT,Data Scientist,82365,USD,82365,US,0,US,M
2023,MI,FT,Machine Learning Engineer,36000,USD,36000,MX,100,MX,S
2023,SE,FT,Data Scientist,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Scientist,148750,USD,148750,US,0,US,M
2023,SE,FT,Research Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Data Scientist,235000,USD,235000,US,100,US,M
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
2023,MI,FT,Machine Learning Engineer,100000,GBP,121523,GB,0,GB,M
2023,MI,FT,Machine Learning Engineer,80000,GBP,97218,GB,0,GB,M
2023,SE,FT,Data Scientist,216100,USD,216100,US,0,US,M
2023,SE,FT,Data Scientist,140800,USD,140800,US,0,US,M
2023,MI,FT,Machine Learning Engineer,120000,GBP,145828,GB,0,GB,M
2023,MI,FT,Machine Learning Engineer,100000,GBP,121523,GB,0,GB,M
2023,SE,FT,Computer Vision Software Engineer,50000,EUR,53654,NL,100,CA,L
2023,EN,FT,Data Scientist,110000,USD,110000,US,50,US,S
2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
2023,MI,FT,Data Engineer,55000,GBP,66837,GB,100,GB,M
2023,MI,FT,Data Engineer,52000,GBP,63192,GB,100,GB,M
2023,MI,FT,Data Analyst,50000,GBP,60761,GB,0,GB,M
2023,MI,FT,Data Analyst,45000,GBP,54685,GB,0,GB,M
2023,EX,FT,Data Engineer,284000,USD,284000,US,100,US,M
2023,EX,FT,Data Engineer,236000,USD,236000,US,100,US,M
2023,SE,FT,Research Scientist,248100,USD,248100,CA,0,CA,M
2023,SE,FT,Research Scientist,145900,USD,145900,CA,0,CA,M
2023,SE,FT,Research Engineer,155850,USD,155850,US,0,US,M
2023,SE,FT,Research Engineer,102544,USD,102544,US,0,US,M
2023,MI,FT,Data Scientist,151410,USD,151410,US,100,US,M
2023,MI,FT,Data Scientist,115360,USD,115360,US,100,US,M
2023,MI,FT,Data Engineer,62000,EUR,66531,ES,100,ES,M
2023,MI,FT,Data Engineer,55000,EUR,59020,ES,100,ES,M
2023,SE,FT,Director of Data Science,170000,CAD,125686,CA,50,CA,M
2023,SE,FT,Azure Data Engineer,100000,USD,100000,NL,50,NL,L
2023,EN,FT,Data Scientist,1050000,INR,12767,IN,50,IN,L
2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M
2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M
2023,SE,FT,Data Scientist,185000,USD,185000,GB,0,GB,M
2023,SE,FT,Data Scientist,120250,USD,120250,GB,0,GB,M
2023,EN,FT,Data Engineer,25000,EUR,26827,DE,100,DE,L
2022,EN,FT,Data Scientist,180000,USD,180000,US,100,US,M
2023,MI,FT,Research Scientist,85000,USD,85000,US,0,US,M
2023,MI,FT,Research Scientist,70000,USD,70000,US,0,US,M
2023,SE,FT,BI Developer,135000,USD,135000,US,100,US,M
2023,SE,FT,BI Developer,100000,USD,100000,US,100,US,M
2023,EX,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M
2023,EX,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
2023,SE,FT,Data Engineer,133300,USD,133300,US,0,US,M
2023,SE,FT,Data Scientist,225000,USD,225000,US,100,US,M
2023,SE,FT,Data Scientist,156400,USD,156400,US,100,US,M
2023,SE,FT,Data Engineer,163800,USD,163800,US,0,US,M
2023,SE,FT,Data Engineer,126000,USD,126000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,163800,USD,163800,US,0,US,M
2023,SE,FT,Machine Learning Engineer,126000,USD,126000,US,0,US,M
2023,SE,FT,ML Engineer,220000,USD,220000,US,0,US,M
2023,SE,FT,ML Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
2023,SE,FT,Data Analytics Manager,204500,USD,204500,US,0,US,M
2023,SE,FT,Data Analytics Manager,138900,USD,138900,US,0,US,M
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Engineer,107000,USD,107000,US,100,US,M
2023,EX,FT,Data Engineer,175000,USD,175000,US,0,US,M
2023,EX,FT,Data Engineer,110000,USD,110000,US,0,US,M
2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
2023,SE,FT,Data Engineer,133300,USD,133300,US,0,US,M
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,125000,USD,125000,US,0,US,M
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
2023,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
2022,MI,FT,Research Scientist,23000,USD,23000,IN,100,IN,L
2023,MI,FT,Machine Learning Engineer,110000,USD,110000,US,100,US,L
2023,SE,FT,Data Engineer,265000,USD,265000,US,100,US,M
2023,SE,FT,Data Engineer,182750,USD,182750,US,100,US,M
2023,MI,FT,Data Analyst,130000,USD,130000,US,0,US,M
2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
2023,SE,FT,Data Engineer,137500,USD,137500,US,0,US,M
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
2023,EX,FT,Head of Data Science,314100,USD,314100,US,0,US,M
2023,EX,FT,Head of Data Science,195800,USD,195800,US,0,US,M
2023,SE,FT,Applied Scientist,205000,USD,205000,US,0,US,M
2023,SE,FT,Applied Scientist,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
2023,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
2023,EN,FT,BI Developer,160000,USD,160000,US,0,US,M
